브랜드,페이지 URL,현재 파일명,이미지 URL,SEO 권장 파일명,ALT 내용,Title 내용,상태,생성일
한맥,https://hanmac.miraepmp.co.kr/campaign/smoooooooth.php,ob-hanmac-smooth-draft-beer-glass-cup.webp,https://hanmac.miraepmp.co.kr/resources/images/smoooooooth/ob-hanmac-smooth-draft-beer-glass-cup.webp,hanmac-premium-draft-beer-cup-smooth.webp,test,test,적용,2025-08-02 0:25
한맥,https://hanmac.miraepmp.co.kr/campaign/smoooooooth.php,ob-hanmac-smooooooth-draft-beer-glass-cup.webp,https://hanmac.miraepmp.co.kr/resources/images/smoooooooth/ob-hanmac-smooooooth-draft-beer-glass-cup.webp,hanmac-smoooooooth-draft-beer-glass.webp,test,test,미적용,2025-08-02 0:25
